Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
1/1/2009;00:00:00;0.484;0.062;247.860;2.200;0.000;0.000;0.000
1/1/2009;00:01:00;0.484;0.062;247.720;2.200;0.000;0.000;0.000
1/1/2009;00:02:00;0.482;0.062;247.750;2.200;0.000;0.000;0.000
1/1/2009;00:03:00;0.482;0.060;247.520;2.200;0.000;0.000;0.000
1/1/2009;00:04:00;0.482;0.062;246.940;2.200;0.000;0.000;0.000
1/1/2009;00:05:00;0.570;0.000;246.940;2.600;0.000;0.000;0.000
1/1/2009;00:06:00;0.590;0.078;246.770;2.600;0.000;0.000;0.000
1/1/2009;00:07:00;0.588;0.078;246.930;2.600;0.000;0.000;0.000
1/1/2009;00:08:00;0.586;0.078;247.160;2.600;0.000;0.000;0.000
1/1/2009;00:09:00;0.586;0.078;247.150;2.600;0.000;0.000;0.000
1/1/2009;00:10:00;0.586;0.080;247.690;2.600;0.000;0.000;0.000
1/1/2009;00:11:00;0.586;0.080;247.890;2.600;0.000;0.000;0.000
1/1/2009;00:12:00;0.586;0.082;248.270;2.600;0.000;0.000;0.000
1/1/2009;00:13:00;0.586;0.082;248.410;2.600;0.000;0.000;0.000
1/1/2009;00:14:00;0.584;0.082;248.100;2.600;0.000;0.000;0.000
1/1/2009;00:15:00;0.582;0.082;247.920;2.600;0.000;0.000;0.000
1/1/2009;00:16:00;0.580;0.082;247.370;2.600;0.000;0.000;0.000
1/1/2009;00:17:00;0.580;0.084;247.870;2.600;0.000;0.000;0.000
1/1/2009;00:18:00;0.582;0.084;248.330;2.600;0.000;0.000;0.000
1/1/2009;00:19:00;0.580;0.084;248.050;2.600;0.000;0.000;0.000
1/1/2009;00:20:00;0.578;0.080;247.410;2.600;0.000;0.000;0.000
1/1/2009;00:21:00;0.578;0.080;247.680;2.600;0.000;0.000;0.000
1/1/2009;00:22:00;0.578;0.080;247.790;2.600;0.000;0.000;0.000
1/1/2009;00:23:00;0.576;0.078;247.240;2.600;0.000;0.000;0.000
1/1/2009;00:24:00;0.598;0.088;245.500;2.600;0.000;0.000;0.000
1/1/2009;00:25:00;0.652;0.182;245.680;2.800;0.000;0.000;0.000
1/1/2009;00:26:00;0.622;0.140;246.220;2.800;0.000;0.000;0.000
1/1/2009;00:27:00;0.558;0.000;246.230;2.400;0.000;0.000;0.000
1/1/2009;00:28:00;0.558;0.000;246.810;2.400;0.000;0.000;0.000
